,N,N_norm,tB_sec,dt_from_prev_B_sec,dt_to_next_B_sec,is_cv_int,prev_cv_event_N,next_cv_event_N,count_gap_from_prev_cv,count_gap_to_next_cv,time_from_prev_cv_sec,time_to_next_cv_sec,prev_cv_join_sec,time_since_prev_cv_join_sec,latest_cv_N,cv_seen_so_far,N_base_at_t,join_event_base
N,1.0,0.996424240164686,0.9941995790273316,-0.04797763111369714,0.0444712985813822,-0.0021651814261075594,0.9922048059789019,0.8974715552875313,0.09689448517866107,-0.04407575140573811,-0.09972531967337504,0.11627810687825696,0.9859919467484688,-0.12008573999479814,0.991729169665476,0.23310077642653104,0.9999668731712842,
N_norm,0.996424240164686,1.0,0.9983442519707395,-0.04788023539435884,0.045071716909806346,-0.002129185857256851,0.988875723187333,0.8950012245931056,0.09488519858877457,-0.04541686474606261,-0.10071449052401973,0.11433687709611469,0.9902040421809282,-0.1210520852416799,0.9884260772856344,0.23379060275300545,0.9964010326124857,
tB_sec,0.9941995790273316,0.9983442519707395,1.0,-0.04730150880056708,0.0438119272299023,-0.002253249605687695,0.9865211393484487,0.8944086824010735,0.09534474331068873,-0.04280400429604618,-0.09608459075032606,0.1117200429945616,0.9913711084924445,-0.11707465071387133,0.9863436464787239,0.23113682258061424,0.9942296831117264,
dt_from_prev_B_sec,-0.04797763111369714,-0.04788023539435884,-0.04730150880056708,1.0,0.01294103894340086,-0.0010326987165547473,-0.046260235382638314,-0.04577853779138718,-0.013746020636175622,0.001650414025781485,0.1101335757552772,-0.0034525024082289833,-0.04694706437988793,0.10085402264687121,-0.04457411756361351,-0.13868497115667106,-0.047966440469597915,
dt_to_next_B_sec,0.0444712985813822,0.045071716909806346,0.0438119272299023,0.01294103894340086,1.0,0.009358902200745551,0.044676079343708514,-0.009313072539087126,-0.001182341032347624,-0.012264665129455116,-0.0019890526645852586,0.08250902131344726,0.04444913758713062,-0.005008834936698097,0.04495400097724825,0.001435673598365361,0.044390628394617444,
is_cv_int,-0.0021651814261075594,-0.002129185857256851,-0.002253249605687695,-0.0010326987165547473,0.009358902200745551,1.0,0.03535883790114717,-0.004699086774831222,-0.2924977500571327,-0.29280295808433376,-0.2636128015181091,-0.2699171917971722,0.03421553932335276,-0.2438375297091767,0.0316945256910175,0.08068775992712694,-0.002165994203590899,
prev_cv_event_N,0.9922048059789019,0.988875723187333,0.9865211393484487,-0.046260235382638314,0.044676079343708514,0.03535883790114717,1.0,0.8874243918446204,-0.02312669143610823,-0.09118990111564096,-0.1932738425789521,0.0769832705719893,0.9927890105963368,-0.2026345851048629,0.9981628368245751,0.24608185392208307,0.9921799269792885,
next_cv_event_N,0.8974715552875313,0.8950012245931056,0.8944086824010735,-0.04577853779138718,-0.009313072539087126,-0.004699086774831222,0.8874243918446204,1.0,0.11071659908985214,0.10617309519596045,-0.06402720474535165,-0.09239434394767944,0.88346234731389,-0.08782627333579875,0.8877254350490973,0.2071512626741363,0.8974231652021673,
count_gap_from_prev_cv,0.09689448517866107,0.09488519858877457,0.09534474331068873,-0.013746020636175622,-0.001182341032347624,-0.2924977500571327,-0.02312669143610823,0.11071659908985214,1.0,0.3605349363766838,0.6307340898106953,0.30300217348727904,-0.013000163223131416,0.5491085067424989,-0.012597551785143239,0.06974104648432963,0.09682767136070565,
count_gap_to_next_cv,-0.04407575140573811,-0.04541686474606261,-0.04280400429604618,0.001650414025781485,-0.012264665129455116,-0.29280295808433376,-0.09118990111564096,0.10617309519596045,0.3605349363766838,1.0,0.3507096656815374,0.6712311694518112,-0.09226234398606371,0.3430254812083529,-0.09006238540112155,-0.13086362524710843,-0.044148167898439505,
time_from_prev_cv_sec,-0.09972531967337504,-0.10071449052401973,-0.09608459075032606,0.1101335757552772,-0.0019890526645852586,-0.2636128015181091,-0.1932738425789521,-0.06402720474535165,0.6307340898106953,0.3507096656815374,1.0,0.26026293341869344,-0.1926434775085648,0.8956734223283729,-0.1819024020732615,-0.6456419309758731,-0.09965435700898093,
time_to_next_cv_sec,0.11627810687825696,0.11433687709611469,0.1117200429945616,-0.0034525024082289833,0.08250902131344726,-0.2699171917971722,0.0769832705719893,-0.09239434394767944,0.30300217348727904,0.6712311694518112,0.26026293341869344,1.0,0.07148623772651404,0.2628583540920698,0.07578051446637828,-0.08622588809873627,0.11612647711578247,
prev_cv_join_sec,0.9859919467484688,0.9902040421809282,0.9913711084924445,-0.04694706437988793,0.04444913758713062,0.03421553932335276,0.9927890105963368,0.88346234731389,-0.013000163223131416,-0.09226234398606371,-0.1926434775085648,0.07148623772651404,1.0,-0.22337546850779236,0.9943566670476561,0.2610104730591757,0.9860293136058319,
time_since_prev_cv_join_sec,-0.12008573999479814,-0.1210520852416799,-0.11707465071387133,0.10085402264687121,-0.005008834936698097,-0.2438375297091767,-0.2026345851048629,-0.08782627333579875,0.5491085067424989,0.3430254812083529,0.8956734223283729,0.2628583540920698,-0.22337546850779236,1.0,-0.21169164465567422,-0.7356615572022469,-0.120118259108297,
latest_cv_N,0.991729169665476,0.9884260772856344,0.9863436464787239,-0.04457411756361351,0.04495400097724825,0.0316945256910175,0.9981628368245751,0.8877254350490973,-0.012597551785143239,-0.09006238540112155,-0.1819024020732615,0.07578051446637828,0.9943566670476561,-0.21169164465567422,1.0,0.24656140688164627,0.9917308311623432,
cv_seen_so_far,0.23310077642653104,0.23379060275300545,0.23113682258061424,-0.13868497115667106,0.001435673598365361,0.08068775992712694,0.24608185392208307,0.2071512626741363,0.06974104648432963,-0.13086362524710843,-0.6456419309758731,-0.08622588809873627,0.2610104730591757,-0.7356615572022469,0.24656140688164627,1.0,0.2330926983280963,
N_base_at_t,0.9999668731712842,0.9964010326124857,0.9942296831117264,-0.047966440469597915,0.044390628394617444,-0.002165994203590899,0.9921799269792885,0.8974231652021673,0.09682767136070565,-0.044148167898439505,-0.09965435700898093,0.11612647711578247,0.9860293136058319,-0.120118259108297,0.9917308311623432,0.2330926983280963,1.0,
join_event_base,,,,,,,,,,,,,,,,,,
